percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.05,1.05,1.09,1.05,1.05
1.07,1.06,1.09,1.07,1.08
1.09,1.09,1.09,1.09,1.1
1.11,1.12,1.09,1.12,1.11
1.13,1.17,1.09,1.16,1.11
1.15,1.2,1.09,1.2,1.12
1.17,1.22,1.09,1.24,1.14
1.18,1.25,1.09,1.27,1.16
1.19,1.28,1.08,1.3,1.18
1.21,1.31,1.09,1.3,1.21
1.24,1.34,1.09,1.32,1.24
1.25,1.36,1.08,1.34,1.28
1.28,1.39,1.08,1.35,1.3
1.3,1.41,1.09,1.37,1.31
1.32,1.43,1.09,1.38,1.34
1.33,1.46,1.08,1.4,1.38
1.34,1.48,1.08,1.41,1.4
1.36,1.5,1.09,1.42,1.41
1.37,1.52,1.08,1.43,1.42
1.38,1.55,1.08,1.44,1.43
1.39,1.57,1.08,1.44,1.43
1.41,1.59,1.08,1.46,1.43
1.41,1.59,1.09,1.46,1.43
1.43,1.6,1.09,1.47,1.43
1.44,1.6,1.1,1.48,1.45
1.44,1.61,1.09,1.49,1.48
1.46,1.62,1.1,1.5,1.52
1.47,1.63,1.1,1.52,1.55
1.48,1.64,1.11,1.53,1.58
1.5,1.65,1.1,1.54,1.61
